ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9251--65bbe8d2156fa003ebea353a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe8d47e61f1055b102cde	+	
00028c9251--65bbe8ef543cd35382cabf4f	+	
00028c9251--65bbe8f57e61f1055b102f74	+	
00028c9251--65bbe8fc7e61f1055b103053	+	
00028c9251--65bbe8fd7e61f1055b10306b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe901273ade4c3d957df7	+	
00028c9251--65bbe911273ade4c3d957f65	+	
00028c9251--65bbe9155140ac16b30351f6	+	
00028c9251--65bbe924156fa003ebea3caa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe926543cd35382cac40d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe928156fa003ebea3cdc	+	
00028c9251--65bbe9567e61f1055b103759	+	
00028c9251--65bbe9575140ac16b3035787	+	
00028c9251--65bbe95d273ade4c3d9584f7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe967543cd35382cac8c8	+	
00028c9251--65bbe97f156fa003ebea4458	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9855140ac16b3035b87	+	
00028c9251--65bbe98e5140ac16b3035c2e	+	
00028c9251--65bbe994156fa003ebea458b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe995543cd35382cacb42	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9975140ac16b3035cea	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe99f7e61f1055b103d57	+	
00028c9251--65bbe9a07e61f1055b103d6c	+	
00028c9251--65bbe9a35140ac16b3035d94	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9b35140ac16b3035eb2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9b9156fa003ebea4877	+	
00028c9251--65bbe9ba273ade4c3d958c73	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9bf273ade4c3d958cb8	+	
00028c9251--65bbe9c2156fa003ebea493b	+	
00028c9251--65bbe9cc156fa003ebea49fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9d1273ade4c3d958e38	+	
00028c9251--65bbe9de7e61f1055b1042fd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9ef5140ac16b3036378	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbe9fa5140ac16b3036458	+	
00028c9251--65bbea00156fa003ebea4d53	+	
00028c9251--65bbea06273ade4c3d959223	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbea07156fa003ebea4dcc	+	
00028c9251--65bbea0d5140ac16b30365cf	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbea0e543cd35382cad428	+	
00028c9251--65bbea10273ade4c3d9592af	+	
00028c9251--65bbea165140ac16b3036652	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbea185140ac16b303667e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbea1c7e61f1055b1047ae	+	
00028c9251--65bbea215140ac16b303671b	+	
00028c9251--65bbea50543cd35382cad842	+	
00028c9251--65bbea56543cd35382cad8e3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbea955140ac16b3036f5a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbea9a543cd35382cade07	+	
00028c9251--65bbeaea273ade4c3d95a1d8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeaeb273ade4c3d95a1e2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeaef543cd35382cae400	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeaf2156fa003ebea5e9a	+	
00028c9251--65bbeb10543cd35382cae610	+	
00028c9251--65bbeb5d273ade4c3d95aa9f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeb76273ade4c3d95ac91	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeb80156fa003ebea6837	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeb8a7e61f1055b106204	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeba27e61f1055b1063fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbec0e156fa003ebea7350	+	
00028c9251--65bbec13273ade4c3d95b714	+	
00028c9251--65bbec137e61f1055b106cec	+	
00028c9251--65bbec49156fa003ebea7776	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbed37273ade4c3d95ce7c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbed405140ac16b303a20a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbed6f5140ac16b303a6e6	+	
00028c9251--65bbede45140ac16b303b164	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbeede7e61f1055b10a4c1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbef2c156fa003ebeab2cf	+	
00028c9251--65bbf0075140ac16b303daa0	+	
00028c9251--65bbf0d35140ac16b303e99c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9251--65bbf123273ade4c3d961b15	+	
00028c9251--65bbf543543cd35382cbadf8	+	
