ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c923d--65bbd7675140ac16b301d394	+	
00028c923d--65bbd769273ade4c3d940819	+	
00028c923d--65bbd76d156fa003ebe8d051	+	
00028c923d--65bbd76d5140ac16b301d3de	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd773273ade4c3d9408c9	+	
00028c923d--65bbd7755140ac16b301d4a3	+	
00028c923d--65bbd777273ade4c3d94095e	+	
00028c923d--65bbd7777e61f1055b0ec31c	+	
00028c923d--65bbd7777e61f1055b0ec320	+	
00028c923d--65bbd77d543cd35382c95bac	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd780543cd35382c95c1d	+	
00028c923d--65bbd7825140ac16b301d53d	+	
00028c923d--65bbd783273ade4c3d940a47	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd78f7e61f1055b0ec4be	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7927e61f1055b0ec4f4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7a37e61f1055b0ec689	+	
00028c923d--65bbd7a5273ade4c3d940c41	+	
00028c923d--65bbd7a7156fa003ebe8d48c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7a8543cd35382c95f93	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7b07e61f1055b0ec7c3	+	
00028c923d--65bbd7b6273ade4c3d940d92	+	
00028c923d--65bbd7b77e61f1055b0ec81b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7b87e61f1055b0ec822	+	
00028c923d--65bbd7bb543cd35382c9610c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7bb7e61f1055b0ec83f	+	
00028c923d--65bbd7c3543cd35382c96194	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7c6156fa003ebe8d6db	+	
00028c923d--65bbd7c95140ac16b301de7f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7cb7e61f1055b0ec960	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7d25140ac16b301defe	+	
00028c923d--65bbd7d5156fa003ebe8d788	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7d5543cd35382c96280	+	
00028c923d--65bbd7d97e61f1055b0eca52	+	
00028c923d--65bbd7e1156fa003ebe8d857	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7e2156fa003ebe8d865	+	
00028c923d--65bbd7e5273ade4c3d9410f8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7e55140ac16b301e06a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7e6273ade4c3d941107	+	
00028c923d--65bbd7f37e61f1055b0ecbec	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7f85140ac16b301e206	+	
00028c923d--65bbd7fa7e61f1055b0eccec	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd7fb156fa003ebe8da25	+	
00028c923d--65bbd802273ade4c3d94130d	+	
00028c923d--65bbd803273ade4c3d941313	+	
00028c923d--65bbd805156fa003ebe8db44	+	
00028c923d--65bbd80a5140ac16b301e346	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd810273ade4c3d9413f1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd817543cd35382c96721	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd818273ade4c3d94145d	+	
00028c923d--65bbd819543cd35382c96732	+	
00028c923d--65bbd81a543cd35382c96741	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd81b5140ac16b301e494	+	
00028c923d--65bbd81f7e61f1055b0ecf5a	+	
00028c923d--65bbd82c5140ac16b301e5b6	+	
00028c923d--65bbd836543cd35382c96959	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd837156fa003ebe8df22	+	
00028c923d--65bbd842156fa003ebe8dfd8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd84a5140ac16b301e797	+	
00028c923d--65bbd8525140ac16b301e887	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd85e7e61f1055b0ed4a9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd864543cd35382c96d0d	+	
00028c923d--65bbd865273ade4c3d941a89	+	
00028c923d--65bbd86d156fa003ebe8e2e1	+	
00028c923d--65bbd86d156fa003ebe8e2e7	+	
00028c923d--65bbd872156fa003ebe8e329	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd872273ade4c3d941ba6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd87f156fa003ebe8e45c	+	
00028c923d--65bbd8805140ac16b301ec43	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd881156fa003ebe8e46c	+	
00028c923d--65bbd8845140ac16b301ec7f	+	
00028c923d--65bbd89a273ade4c3d941ea6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd89f273ade4c3d941f38	+	
00028c923d--65bbd89f7e61f1055b0ed998	+	
00028c923d--65bbd8a0156fa003ebe8e697	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8a25140ac16b301ef26	+	
00028c923d--65bbd8a3543cd35382c97173	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8a4543cd35382c97177	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8a77e61f1055b0eda47	+	
00028c923d--65bbd8a97e61f1055b0eda6b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8aa5140ac16b301ef79	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8ac273ade4c3d94204d	+	
00028c923d--65bbd8ae543cd35382c9729f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8ae7e61f1055b0edafa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8af5140ac16b301efbd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8b45140ac16b301f06b	+	
00028c923d--65bbd8b95140ac16b301f0d4	+	
00028c923d--65bbd8bf156fa003ebe8e8f7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8c3543cd35382c97453	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd8c7156fa003ebe8e9a3	+	
00028c923d--65bbd8d4273ade4c3d9422bf	+	
00028c923d--65bbd8df273ade4c3d9423a0	+	
00028c923d--65bbd8ec273ade4c3d9424a5	+	
00028c923d--65bbd90d5140ac16b301f7b9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd9147e61f1055b0ee3c0	+	
00028c923d--65bbd9155140ac16b301f836	+	
00028c923d--65bbd917543cd35382c97add	+	
00028c923d--65bbd9225140ac16b301f9b7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd937273ade4c3d942af7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd93e543cd35382c97dc2	+	
00028c923d--65bbd93f156fa003ebe8f407	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd940543cd35382c97e19	+	
00028c923d--65bbd9407e61f1055b0ee6bd	+	
00028c923d--65bbd96c543cd35382c981cb	+	
00028c923d--65bbd974543cd35382c98296	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd9875140ac16b3020254	+	
00028c923d--65bbd9885140ac16b3020287	+	
00028c923d--65bbd99b273ade4c3d9432b7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd9ea273ade4c3d9438f0	+	
00028c923d--65bbd9f1543cd35382c98d9d	+	
00028c923d--65bbd9f6543cd35382c98df0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbd9f7543cd35382c98e06	+	
00028c923d--65bbd9fa156fa003ebe90248	+	
00028c923d--65bbda2f7e61f1055b0efb42	+	
00028c923d--65bbda3c5140ac16b3021209	+	
00028c923d--65bbda4a7e61f1055b0efe0a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbda727e61f1055b0f0125	+	
00028c923d--65bbda74156fa003ebe90be0	+	
00028c923d--65bbda745140ac16b3021687	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbda747e61f1055b0f014b	+	
00028c923d--65bbda8b273ade4c3d9446b1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbda94543cd35382c99a68	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdaa0273ade4c3d94481c	+	
00028c923d--65bbdab1156fa003ebe910a9	+	
00028c923d--65bbdab97e61f1055b0f0654	+	
00028c923d--65bbdaba5140ac16b3021cea	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdac35140ac16b3021d6c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdae8156fa003ebe91556	+	
00028c923d--65bbdaea156fa003ebe91579	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdb15273ade4c3d945108	+	
00028c923d--65bbdb155140ac16b3022466	+	
00028c923d--65bbdb40273ade4c3d9454ad	+	
00028c923d--65bbdb4f5140ac16b3022a47	+	
00028c923d--65bbdb525140ac16b3022a69	+	
00028c923d--65bbdb56273ade4c3d94566f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdb5b7e61f1055b0f14af	+	
00028c923d--65bbdb9c273ade4c3d945c60	+	
00028c923d--65bbdb9d543cd35382c9b063	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdbc5156fa003ebe9281e	+	
00028c923d--65bbdc065140ac16b3023a39	+	
00028c923d--65bbdc505140ac16b30240f9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdc55543cd35382c9bf5c	+	
00028c923d--65bbdcc95140ac16b3024c11	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbdd027e61f1055b0f382d	+	
00028c923d--65bbddb6273ade4c3d948cb0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c923d--65bbe0be156fa003ebe9868d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
