ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c2f81--65b0e578b7b7c6421343ae0c	+	
00028c2f81--65b0e598b7b7c6421343b153	+	
00028c2f81--65b0e5a1ee2612733d6d6ea0	+	
00028c2f81--65b0e5ad6ee6ba6cf963760a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e5b6f0884d28d1769680	+	
00028c2f81--65b0e5c16ee6ba6cf963789d	+	
00028c2f81--65b0e5c1f0884d28d17697e7	+	
00028c2f81--65b0e5c6acc1b67a2f775908	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e5e1753d7e7cfc35741d	+	
00028c2f81--65b0e5e7ee2612733d6d76db	+	
00028c2f81--65b0e5e8753d7e7cfc357504	+	
00028c2f81--65b0e6036ee6ba6cf96380f5	+	
00028c2f81--65b0e652acc1b67a2f776cdb	+	
00028c2f81--65b0e67eee2612733d6d888b	+	
00028c2f81--65b0e68e6ee6ba6cf9639178	+	
00028c2f81--65b0e69dee2612733d6d8c27	+	
00028c2f81--65b0e6b76ee6ba6cf9639659	+	
00028c2f81--65b0e6ce753d7e7cfc359340	+	
00028c2f81--65b0e6d0f0884d28d176b719	+	
00028c2f81--65b0e6fdacc1b67a2f77822e	+	
00028c2f81--65b0e729b7b7c6421343e040	+	
00028c2f81--65b0e72d6ee6ba6cf963a372	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e72fb7b7c6421343e0b4	+	
00028c2f81--65b0e73f753d7e7cfc359ed6	+	
00028c2f81--65b0e77facc1b67a2f778fd0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e780b7b7c6421343e7e0	+	
00028c2f81--65b0e791753d7e7cfc35a5c8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e7c3acc1b67a2f7796e5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e7c4b7b7c6421343ef99	+	
00028c2f81--65b0e7c8b7b7c6421343f016	+	
00028c2f81--65b0e7e2acc1b67a2f7799b0	+	
00028c2f81--65b0e7e6acc1b67a2f779a1d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e7f1f0884d28d176d54d	+	
00028c2f81--65b0e807b7b7c6421343f51c	+	
00028c2f81--65b0e808acc1b67a2f779d68	+	
00028c2f81--65b0e827f0884d28d176dc24	+	
00028c2f81--65b0e842acc1b67a2f77a2ed	+	
00028c2f81--65b0e84facc1b67a2f77a46f	+	
00028c2f81--65b0e877acc1b67a2f77a90e	+	
00028c2f81--65b0e87af0884d28d176e3f9	+	
00028c2f81--65b0e898f0884d28d176e6a7	+	
00028c2f81--65b0e8bcee2612733d6dc66b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e8d4b7b7c6421344070f	+	
00028c2f81--65b0e8f2acc1b67a2f77b521	+	
00028c2f81--65b0e900ee2612733d6dcd70	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e923ee2612733d6dd177	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e936f0884d28d176f63a	+	
00028c2f81--65b0e957acc1b67a2f77e605	+	
00028c2f81--65b0e96fb7b7c6421344168e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e991ee2612733d6ddd6c	+	
00028c2f81--65b0e99eee2612733d6ddf2a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0e9a5acc1b67a2f7836af	+	
00028c2f81--65b0e9bfb7b7c64213441f13	+	
00028c2f81--65b0e9c1ee2612733d6de25e	+	
00028c2f81--65b0e9d9ee2612733d6de543	+	
00028c2f81--65b0ea05ee2612733d6de99a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ea286ee6ba6cf9641937	+	
00028c2f81--65b0ea5df0884d28d1771659	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ea69ee2612733d6df24f	+	
00028c2f81--65b0ea71753d7e7cfc361e37	+	
00028c2f81--65b0ea80753d7e7cfc361f98	+	
00028c2f81--65b0eabab7b7c642134436b9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ead2f0884d28d17721ff	+	
00028c2f81--65b0eae8b7b7c64213443adf	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0eb63acc1b67a2f786404	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0eb9af0884d28d1773445	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0eb9facc1b67a2f78690a	+	
00028c2f81--65b0ebc1753d7e7cfc364242	+	
00028c2f81--65b0ebc7b7b7c6421344503c	+	
00028c2f81--65b0ebff6ee6ba6cf9644786	+	
00028c2f81--65b0ec1dee2612733d6e1da9	+	
00028c2f81--65b0ec226ee6ba6cf9644b6a	+	
00028c2f81--65b0ec2dee2612733d6e1f26	+	
00028c2f81--65b0ec30acc1b67a2f787873	+	
00028c2f81--65b0ec5ab7b7c64213445fa7	+	
00028c2f81--65b0ec69753d7e7cfc36529d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ec846ee6ba6cf9645448	+	
00028c2f81--65b0ec8aee2612733d6e291c	+	
00028c2f81--65b0ec916ee6ba6cf96455c8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ecbff0884d28d1775051	+	
00028c2f81--65b0ecc06ee6ba6cf9645b62	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ecdfb7b7c64213446c7d	+	
00028c2f81--65b0ecedf0884d28d17755b2	+	
00028c2f81--65b0ed19b7b7c642134471d1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ed3dacc1b67a2f789429	+	
00028c2f81--65b0ed84b7b7c64213447d06	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ed946ee6ba6cf9647be3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0edbaf0884d28d1776bc2	+	
00028c2f81--65b0edceee2612733d6e4a61	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ee1bee2612733d6e518c	+	
00028c2f81--65b0ee23753d7e7cfc36831b	+	
00028c2f81--65b0ee32f0884d28d1777831	+	
00028c2f81--65b0ee4aacc1b67a2f78b0d5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ee6df0884d28d1777f5c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ee73753d7e7cfc368c6c	+	
00028c2f81--65b0ee78b7b7c642134495fe	+	
00028c2f81--65b0ee8bacc1b67a2f78b802	+	
00028c2f81--65b0eeb9753d7e7cfc36954a	+	
00028c2f81--65b0eec9f0884d28d17789b8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ef016ee6ba6cf964a298	+	
00028c2f81--65b0ef12acc1b67a2f78c8a9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ef22f0884d28d1779407	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0ef46ee2612733d6e70d7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0efe5ee2612733d6e8139	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f09f6ee6ba6cf964d0a2	+	
00028c2f81--65b0f0bcb7b7c6421344d530	+	
00028c2f81--65b0f0ebacc1b67a2f790073	+	
00028c2f81--65b0f0f4f0884d28d1781ce1	+	
00028c2f81--65b0f0fbee2612733d6ea1b0	+	
00028c2f81--65b0f130753d7e7cfc36df62	+	
00028c2f81--65b0f156753d7e7cfc36e4cb	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f157753d7e7cfc36e4fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f169b7b7c6421344ed46	+	
00028c2f81--65b0f19f753d7e7cfc36f06a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f1d26ee6ba6cf964fada	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f1e26ee6ba6cf964fcf0	+	
00028c2f81--65b0f2096ee6ba6cf96502a3	+	
00028c2f81--65b0f2156ee6ba6cf965048c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f272b7b7c642134515f5	+	
00028c2f81--65b0f2936ee6ba6cf9651873	+	
00028c2f81--65b0f298f0884d28d178596c	+	
00028c2f81--65b0f2a4753d7e7cfc3716f1	+	
00028c2f81--65b0f2d1ee2612733d6ee7c2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f2d3ee2612733d6ee825	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f2d66ee6ba6cf96522ca	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f2ee6ee6ba6cf9652668	+	
00028c2f81--65b0f30a753d7e7cfc37287f	+	
00028c2f81--65b0f32e6ee6ba6cf96530a5	+	
00028c2f81--65b0f33eacc1b67a2f795d2c	+	
00028c2f81--65b0f373753d7e7cfc373953	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f37cacc1b67a2f796759	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f380ee2612733d6f05fb	+	
00028c2f81--65b0f3c5acc1b67a2f7973d2	+	
00028c2f81--65b0f3cdee2612733d6f1265	+	
00028c2f81--65b0f3d9acc1b67a2f79765d	+	
00028c2f81--65b0f3e4753d7e7cfc374ccd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f3eaf0884d28d178909e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f3faf0884d28d1789389	+	
00028c2f81--65b0f410ee2612733d6f1de5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f470b7b7c64213456963	+	
00028c2f81--65b0f4e1ee2612733d6f4185	+	
00028c2f81--65b0f4f2f0884d28d178ce4f	+	
00028c2f81--65b0f5406ee6ba6cf96584ec	+	
00028c2f81--65b0f54e753d7e7cfc378916	+	
00028c2f81--65b0f5deb7b7c6421345a306	+	
00028c2f81--65b0f5e1ee2612733d6f6904	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f81--65b0f5e9f0884d28d178f581	+	
00028c2f81--65b0f613753d7e7cfc37a774	+	
00028c2f81--65b0f625ee2612733d6f747a	+	
00028c2f81--65b0f652753d7e7cfc37b07b	+	
00028c2f81--65b0f6916ee6ba6cf965b996	+	
00028c2f81--65b0f7d56ee6ba6cf965e684	+	
00028c2f81--65b0f7ee753d7e7cfc37ec36	+	
