ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9222--65bbe104273ade4c3d94cd22	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe1077e61f1055b0f8595	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe10b543cd35382ca1670	+	
00028c9222--65bbe110273ade4c3d94ce59	+	
00028c9222--65bbe111273ade4c3d94ce9f	+	
00028c9222--65bbe1127e61f1055b0f8692	+	
00028c9222--65bbe115156fa003ebe98e55	+	
00028c9222--65bbe11a156fa003ebe98ec0	+	
00028c9222--65bbe11a543cd35382ca1761	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe11f543cd35382ca17f9	+	
00028c9222--65bbe12b7e61f1055b0f881f	+	
00028c9222--65bbe146273ade4c3d94d2f3	+	
00028c9222--65bbe14d7e61f1055b0f8a96	+	
00028c9222--65bbe14f156fa003ebe99259	+	
00028c9222--65bbe164273ade4c3d94d508	+	
00028c9222--65bbe168273ade4c3d94d550	+	
00028c9222--65bbe1697e61f1055b0f8da0	+	
00028c9222--65bbe16c156fa003ebe99447	+	
00028c9222--65bbe179543cd35382ca1e90	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe17c543cd35382ca1ec1	+	
00028c9222--65bbe17f543cd35382ca1f5e	+	
00028c9222--65bbe186156fa003ebe99656	+	
00028c9222--65bbe18a7e61f1055b0f90cf	+	
00028c9222--65bbe1925140ac16b302aa3d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe194543cd35382ca217c	+	
00028c9222--65bbe196156fa003ebe997fd	+	
00028c9222--65bbe199156fa003ebe99833	+	
00028c9222--65bbe199273ade4c3d94da9e	+	
00028c9222--65bbe1a8273ade4c3d94dc42	+	
00028c9222--65bbe1ab7e61f1055b0f9494	+	
00028c9222--65bbe1ac156fa003ebe99a0f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe1f67e61f1055b0f997c	+	
00028c9222--65bbe1f75140ac16b302b2cf	+	
00028c9222--65bbe21e156fa003ebe9a2f3	+	
00028c9222--65bbe2245140ac16b302b67a	+	
00028c9222--65bbe22e5140ac16b302b777	+	
00028c9222--65bbe230156fa003ebe9a48a	+	
00028c9222--65bbe23a7e61f1055b0f9f55	+	
00028c9222--65bbe244156fa003ebe9a696	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe27f543cd35382ca33dd	+	
00028c9222--65bbe2885140ac16b302c0ec	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe2905140ac16b302c1d2	+	
00028c9222--65bbe2927e61f1055b0fa673	+	
00028c9222--65bbe293543cd35382ca35c5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe2b6543cd35382ca38ff	+	
00028c9222--65bbe2d0273ade4c3d94f5b1	+	
00028c9222--65bbe2d2543cd35382ca3b6a	+	
00028c9222--65bbe2d3543cd35382ca3be4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe33e5140ac16b302d174	+	
00028c9222--65bbe347543cd35382ca4502	+	
00028c9222--65bbe34d5140ac16b302d2f1	+	
00028c9222--65bbe3555140ac16b302d3c3	+	
00028c9222--65bbe360156fa003ebe9be72	+	
00028c9222--65bbe39f273ade4c3d9506f7	+	
00028c9222--65bbe3d75140ac16b302dea2	+	
00028c9222--65bbe3db156fa003ebe9c655	+	
00028c9222--65bbe3dc5140ac16b302df18	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe3fa273ade4c3d950dc4	+	
00028c9222--65bbe4005140ac16b302e1e5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe4137e61f1055b0fc51d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe41b156fa003ebe9cbf7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe45e7e61f1055b0fcb27	+	
00028c9222--65bbe4735140ac16b302eb6b	+	
00028c9222--65bbe513156fa003ebe9e268	+	
00028c9222--65bbe5155140ac16b302f984	+	
00028c9222--65bbe5185140ac16b302f9bd	+	
00028c9222--65bbe66b543cd35382ca87b0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9222--65bbe8067e61f1055b101b03	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
