ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028b3570--6597d1922e91040508fb65fa	+	
00028b3570--6597d19a2e91040508fb66ac	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d1d76f27ca0f39377bae	+	
00028b3570--6597d1da2e91040508fb6cea	+	
00028b3570--6597d1ec2e91040508fb6e9f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d21417936c150efb17a4	+	
00028b3570--6597d2182e91040508fb732a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d21a3acd552d1eb17e87	+	
00028b3570--6597d21d5469f23b433da6ba	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d22717936c150efb195b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d23f3acd552d1eb182ea	+	
00028b3570--6597d26417936c150efb20fe	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d2e02e91040508fb881c	+	
00028b3570--6597d2e63acd552d1eb1977b	+	
00028b3570--6597d3905469f23b433dc8e9	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d4112e91040508fba7ec	+	
00028b3570--6597d4132e91040508fba80c	+	
00028b3570--6597d41c2e91040508fba9d9	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d47e2e91040508fbb439	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d4855469f23b433de492	+	
00028b3570--6597d57417936c150efb8236	+	
00028b3570--6597d5aa2e91040508fbd4fd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d5ee6f27ca0f3937eaba	+	
00028b3570--6597d6355469f23b433e17e5	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d69a2e91040508fbf23a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b3570--6597d7173acd552d1eb21221	+	
